signal_ts,s,date,side,hold_bars,exit_type,ret_trigger_bps,ret_fill_bps,ret_with_stop_bps,stopped,tod_bucket,f01_atr5_bps,f02_atr5_slope_3,f03_bar_range_over_atr,f04_rsi_jump,f05_bars_since_cross,f06_buffer_over_range,f07_minutes_since_open,f08_ret_since_open_bps,f09_dist_from_vwap_bps,f10_session_range_over_adr,f11_overnight_gap_bps,f17_day_of_week,f12_spy_align,f13_qqq_align,f14_spy_dia_corr_20,f15a_spy_rvol20,f15b_spy_rvol20_chg,f16a_is_fomc_day,f16b_days_to_fomc,selected_oof
2018-06-14 13:50:00-04:00,10425,2018-06-14,short,20,recross,5.592109177007751,5.592109177007751,5.592109177007751,False,midday,5.939355264452116,0.16073489265241303,1.3954975054363659,-6.641658116254817,3.0,0.09569377990430476,255.0,39.46121030178524,10.810274987388837,1.0414391570468866,-39.25922988460202,3,1.6212344409005652,-4.216983803742025,0.8473980297264521,9.305616992370082,-0.2876323129752869,0.0,48.0,True
2018-06-15 14:10:00-04:00,10507,2018-06-15,long,21,eod,31.23748498197728,31.23748498197728,31.23748498197728,False,close,6.052461413660242,0.8186226203902418,1.6127777886240886,6.519089286918593,57.0,0.08206811653671935,275.0,-24.373676429456733,6.578099149468159,0.8584095346268735,-67.86252877212397,4,0.18087761820329007,-4.803616840914904,0.7505835645894355,9.255423252449186,-0.05019373992089626,0.0,47.0,True
2018-06-18 13:00:00-04:00,10571,2018-06-18,long,24,recross,-1.1229195909372371,-1.1229195909372371,-1.1229195909372371,False,midday,4.8851906540163315,-0.45886868322542806,1.3137604591975935,2.8741435537572855,8.0,0.12499999999998046,205.0,19.69374221293393,15.46599733877669,0.6731809872975995,-78.95051636827584,0,6.159197130539695,1.6120188492685372,0.9272296429628386,9.533538252325993,0.27811499987680754,0.0,44.0,True
2018-06-18 15:00:00-04:00,10595,2018-06-18,short,3,recross,-4.813863928113148,-4.813863928113148,-5.616174582799053,True,close,4.791449839386657,0.21211247781802012,0.8370301446601286,-1.5888253241733636,24.0,0.20000000000001136,325.0,-21.301394638479206,-13.423154440664378,0.7663906624618851,78.95051636827584,0,10.307600499105396,7.931561951163291,0.8988556691901323,9.533538252325993,0.27811499987680754,0.0,44.0,True
2018-06-19 14:05:00-04:00,10662,2018-06-19,long,15,recross,-1.6206798752073273,-1.6206798752073273,-1.6206798752073273,False,close,6.057205976488186,-1.1788163850523716,0.7492657771596514,2.211558561574087,54.0,0.1785714285714369,270.0,8.512795555014991,14.77635686660906,0.8657435463911177,-126.53665959235963,1,15.761101020288493,22.84278453543287,0.9506175731624854,9.524698660553982,-0.00883959177201099,0.0,43.0,True
2018-06-20 13:45:00-04:00,10736,2018-06-20,long,10,recross,-4.031449356690327,-4.031449356690327,-4.841790935924928,True,midday,4.872193531437414,-1.1589727962109437,0.6612800738909778,1.2235150720137682,3.0,0.2515723270440381,250.0,-48.79819325697725,0.3355917319114986,0.9414718343009505,44.15279296795899,2,-5.063108025025187,-1.9699442787191046,0.8589614634175567,9.347841735241625,-0.1768569253123573,0.0,42.0,True
2018-06-20 14:35:00-04:00,10746,2018-06-20,short,11,recross,-6.486661801670177,-6.486661801670177,-6.486661801670177,False,close,5.225030167469947,0.05275221616687986,1.3964717607060804,-5.412789983984716,10.0,0.1111111111111069,300.0,51.21793837715801,2.557387582969731,0.9414718343009505,-44.15279296795899,2,6.147837407780576,-3.9390017444151937,0.9285963910949594,9.347841735241625,-0.1768569253123573,0.0,42.0,True
2018-06-22 14:40:00-04:00,10903,2018-06-22,long,15,recross,-0.4062563477562188,-0.4062563477562188,-0.4062563477562188,False,close,4.5782972855436945,-0.6763140365115605,0.6212476944634985,2.3342775090218595,1.0,0.28571428571431357,305.0,8.947090162268792,3.184945675523818,0.5538287944389352,56.85071574642071,4,-5.129787620258286,-5.6918435881381235,0.8303140932618353,9.5460947208892,0.2731113228165647,0.0,40.0,True
2018-06-26 15:10:00-04:00,11065,2018-06-26,short,5,recross,-11.102430198610561,-11.102430198610561,-5.756815658539199,True,close,6.074293091875729,0.9420965974525162,0.6768417144633713,-3.4017637139265915,72.0,0.20000000000001136,335.0,-12.761402931006186,-7.883686766158079,0.7190651139322712,-20.212019964525048,1,16.5167920719389,26.632700324225045,0.869180009906974,10.689973210278113,1.16228534030917,0.0,36.0,True
2018-06-29 14:35:00-04:00,11292,2018-06-29,short,6,recross,-6.142506142506376,-6.142506142506376,-4.914004914006265,True,close,5.39648549266888,-0.7842640466876452,0.6070126561981234,-2.5702869819574303,61.0,0.24999999999996092,300.0,-30.392640052571426,5.389773116842506,0.8137868636603806,-59.07870274736535,4,4.250625684771858,2.918764347206171,0.9392268946230221,9.175975826408902,0.002715630619904985,0.0,33.0,True
